filename,journal_id,journal_name,applicable_checks,passed,failed,partial,cannot_determine,critical_errors,completeness_score,correctness_score,expected_readiness,service_score,service_readiness,mismatches,false_positives,false_negatives,review_required
0002-1881.data,150,Агрохимия,62,49,7,2,4,1,84.0,87.3,needs_revision,85.2,mostly_ready,2,1,1,True
0002-3310.data,209,Известия Российской академии наук. Энергетика,62,45,7,7,3,0,80.3,87.3,mostly_ready,77.8,needs_revision,4,1,2,True
0002-3337.data,271,Физика земли,62,46,7,5,4,0,82.6,87.3,mostly_ready,81.5,mostly_ready,4,1,2,True
0002-337X.data,228,Неорганические материалы,62,49,6,4,3,0,84.6,89.1,mostly_ready,83.3,mostly_ready,3,1,1,True
0002-3388.data,207,Известия Российской академии наук. Теория и системы управления,62,47,8,4,3,1,80.6,85.5,needs_revision,81.5,mostly_ready,3,1,2,True
0002-3515.data,208,Известия Российской академии наук. Физика атмосферы и океана,62,46,7,6,3,0,81.7,87.3,mostly_ready,79.6,needs_revision,4,1,2,True
0004-6299.data,154,Астрономический журнал,62,49,5,5,3,0,86.0,90.9,mostly_ready,85.2,mostly_ready,4,1,2,True
0005-2310.data,149,Автоматика и телемеханика,62,53,4,1,4,0,91.7,92.7,mostly_ready,92.6,ready,1,0,1,True
0006-3029.data,159,Биофизика,62,49,7,3,3,1,83.7,87.3,needs_revision,83.3,mostly_ready,2,1,1,True
0006-8136.data,161,Ботанический журнал,62,50,5,4,3,0,87.4,90.9,mostly_ready,85.2,mostly_ready,2,1,1,True
0015-3230.data,273,Физика металлов и металловедение,62,50,6,3,3,0,86.0,89.1,mostly_ready,83.3,mostly_ready,4,2,1,True
0015-3303.data,276,Физиология растений,62,48,6,4,4,0,85.7,89.1,mostly_ready,85.2,mostly_ready,4,1,2,True
0016-6758.data,173,Генетика,62,47,7,4,4,0,83.4,87.3,mostly_ready,83.3,mostly_ready,3,1,2,True
0016-7525.data,178,Геохимия,62,49,4,5,4,0,87.7,92.7,mostly_ready,85.2,mostly_ready,3,1,1,True
0016-7770.data,174,Геология рудных месторождений,62,45,7,6,4,0,81.1,87.3,mostly_ready,79.6,needs_revision,4,1,2,True
0016-7940.data,175,Геомагнетизм и аэрономия,62,46,6,6,4,0,83.4,89.1,mostly_ready,81.5,mostly_ready,4,1,2,True
0016-853X.data,177,Геотектоника,62,45,7,6,4,0,81.7,87.3,mostly_ready,79.6,needs_revision,4,1,2,True
0023-1177.data,280,Химия твердого топлива,62,47,7,4,4,0,84.0,87.3,mostly_ready,83.3,mostly_ready,4,1,2,True
0023-1193.data,279,Химия высоких энергий,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0023-2912.data,213,Коллоидный журнал,62,47,6,6,3,0,82.9,89.1,mostly_ready,81.5,mostly_ready,4,1,2,True
