filename,journal_name,completeness_score,expected_readiness,service_score,service_readiness,mismatches,false_positives,false_negatives,cannot_determine,reason
0044-4669.data,Журнал вычислительной математики и математической физики,74.6,not_ready,75.9,needs_revision,2,1,1,4,низкая заполненность (indep)
2308-1147.data,Высокомолекулярные соединения. Серия С,75.4,not_ready,77.8,needs_revision,4,1,2,4,низкая заполненность (indep)
0233-4755.data,Биологические мембраны,78.0,not_ready,77.8,needs_revision,3,2,1,4,низкая заполненность (indep)
0320-930X.data,Астрономический вестник. Исследования Солнечной системы,84.0,needs_revision,85.2,mostly_ready,2,1,1,4,средняя заполненность
0321-0596.data,Водные ресурсы,84.0,needs_revision,83.3,mostly_ready,2,1,1,4,средняя заполненность
0869-6071.data,Известия Русского географического общества,84.0,mostly_ready,83.3,mostly_ready,4,1,2,3,средняя заполненность
2949-1789.data,Геоморфология и палеогеография,90.3,mostly_ready,90.7,ready,2,1,1,3,высокая заполненность
0005-2310.data,Автоматика и телемеханика,91.7,mostly_ready,92.6,ready,1,0,1,4,высокая заполненность
0044-4510.data,Журнал экспериментальной и теоретической физики,93.0,mostly_ready,96.3,ready,2,0,2,4,высокая заполненность
1605-7880.data,Известия Российской академии наук. Серия литературы и языка,84.0,mostly_ready,81.5,mostly_ready,6,2,2,5,максимум расхождений с сервисом
0040-3571.data,Теоретические основы химической технологии,85.1,mostly_ready,81.5,mostly_ready,6,2,2,3,максимум расхождений с сервисом
2218-1172.data,Мембраны и мембранные технологии,81.1,mostly_ready,77.8,needs_revision,5,1,2,4,максимум расхождений с сервисом
0041-3771.data,Цитология,83.4,mostly_ready,81.5,mostly_ready,5,1,2,4,максимум расхождений с сервисом
0869-544X.data,Славяноведение,84.3,needs_revision,83.3,mostly_ready,5,2,2,5,максимум расхождений с сервисом
0002-1881.data,Агрохимия,84.0,needs_revision,85.2,mostly_ready,2,1,1,4,пограничная оценка 78–86%
0002-3310.data,Известия Российской академии наук. Энергетика,80.3,mostly_ready,77.8,needs_revision,4,1,2,3,пограничная оценка 78–86%
0002-3337.data,Физика земли,82.6,mostly_ready,81.5,mostly_ready,4,1,2,4,пограничная оценка 78–86%
0002-337X.data,Неорганические материалы,84.6,mostly_ready,83.3,mostly_ready,3,1,1,3,пограничная оценка 78–86%
0002-3388.data,Известия Российской академии наук. Теория и системы управления,80.6,needs_revision,81.5,mostly_ready,3,1,2,3,расхождение статуса готовности
0002-3515.data,Известия Российской академии наук. Физика атмосферы и океана,81.7,mostly_ready,79.6,needs_revision,4,1,2,3,расхождение статуса готовности
0044-748X.data,Латинская Америка,86.3,mostly_ready,85.2,mostly_ready,4,2,2,5,много cannot_determine
0131-6095.data,Русская литература,85.8,needs_revision,83.3,mostly_ready,4,2,1,5,много cannot_determine
0131-6117.data,Русская речь,86.6,needs_revision,81.5,mostly_ready,4,2,1,5,много cannot_determine
