filename,journal_name,rule_id,checklist_id,compare,independent_status,service_status,severity,json_path,evidence,explanation
0002-1881.data,Агрохимия,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-1881.data,Агрохимия,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0002-3310.data,Известия Российской академии наук. Энергетика,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0002-3310.data,Известия Российской академии наук. Энергетика,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-3310.data,Известия Российской академии наук. Энергетика,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0002-3310.data,Известия Российской академии наук. Энергетика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0002-3337.data,Физика земли,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0002-3337.data,Физика земли,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-3337.data,Физика земли,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0002-3337.data,Физика земли,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0002-337X.data,Неорганические материалы,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0002-337X.data,Неорганические материалы,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-337X.data,Неорганические материалы,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0002-3388.data,Известия Российской академии наук. Теория и системы управления,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-3388.data,Известия Российской академии наук. Теория и системы управления,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0002-3388.data,Известия Российской академии наук. Теория и системы управления,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0002-3515.data,Известия Российской академии наук. Физика атмосферы и океана,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0002-3515.data,Известия Российской академии наук. Физика атмосферы и океана,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0002-3515.data,Известия Российской академии наук. Физика атмосферы и океана,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0002-3515.data,Известия Российской академии наук. Физика атмосферы и океана,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0004-6299.data,Астрономический журнал,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0004-6299.data,Астрономический журнал,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0004-6299.data,Астрономический журнал,STEP1_MAILING,step1.mailing,false_negative,partial,pass,error,settings.mailingAddress,ru_len=0; en_len=120,Адрес неполный/пуст
0004-6299.data,Астрономический журнал,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0005-2310.data,Автоматика и телемеханика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0006-3029.data,Биофизика,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0006-3029.data,Биофизика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0006-8136.data,Ботанический журнал,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0006-8136.data,Ботанический журнал,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0015-3230.data,Физика металлов и металловедение,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0015-3230.data,Физика металлов и металловедение,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
