checklist_id,n,true_positive,true_negative,false_positive,false_negative,severity_mismatch,cannot_compare,accuracy,precision,recall,f1,fpr,fnr
metrics.alm,141,0,141,0,0,0,0,1.0,,,,0.0,
metrics.altmetrics,141,0,141,0,0,0,0,1.0,,,,0.0,
metrics.citedby,141,0,141,0,0,0,0,1.0,,,,0.0,
metrics.dimensions,141,0,141,0,0,0,0,1.0,,,,0.0,
metrics.plumx,141,0,0,0,0,0,141,,,,,,
metrics.publons,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.acron,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.browse,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.coins,141,3,138,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
modules.custom_blocks,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.doi,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.driver,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.edn,141,10,131,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
modules.extra_off,141,2,3,135,1,0,0,0.0355,0.0146,0.6667,0.0286,0.9783,0.3333
modules.fundref,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.mets_gateway,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.pdfjs,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.recognition,141,139,2,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
modules.sehl,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.static_pages,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.tinymce,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.url_pubid,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.urn,141,0,141,0,0,0,0,1.0,,,,0.0,
modules.webfeed,141,0,0,0,0,0,141,,,,,,
pages.editorial_board,141,3,138,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
pages.lang.en,141,0,141,0,0,0,0,1.0,,,,0.0,
pages.lang.ru,141,0,141,0,0,0,0,1.0,,,,0.0,
pages.reader_tools,141,0,124,17,0,0,0,0.8794,0.0,,,0.1206,
pages.section_articles,141,0,77,0,0,64,0,1.0,,,,0.0,
pages.sections_other,141,14,127,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step1.abbreviation,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.board,141,3,138,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step1.elibrary,141,3,138,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step1.email,141,0,134,7,0,0,0,0.9504,0.0,,,0.0496,
step1.funding,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.history,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.indexing_kw,141,124,17,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step1.initials,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.issn,141,0,139,0,0,0,2,1.0,,,,0.0,
step1.mailing,141,1,48,0,91,1,0,0.35,1.0,0.0109,0.0215,0.0,0.9891
step1.publisher,141,1,140,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step1.sponsors,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.support,141,0,141,0,0,0,0,1.0,,,,0.0,
step1.title,141,0,141,0,0,0,0,1.0,,,,0.0,
step2.focus,141,6,135,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step2.review,141,65,76,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step3.checklist,141,129,3,1,0,8,0,0.9925,0.9923,1.0,0.9961,0.25,0.0
step3.copyright,141,136,1,0,0,4,0,1.0,1.0,1.0,1.0,0.0,0.0
step3.guidelines,141,92,49,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step3.submission_ack,141,2,14,0,125,0,0,0.1135,1.0,0.0157,0.031,0.0,0.9843
step4.access,141,0,37,0,0,0,104,1.0,,,,0.0,
step4.issue_id,141,0,0,0,0,0,141,,,,,,
step4.library,141,0,0,0,0,0,141,,,,,,
step4.pagination,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.additional,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.cover,141,97,44,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step5.current_issue,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.dates,141,118,23,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
step5.description,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.home_header,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.page_header,141,0,141,0,0,0,0,1.0,,,,0.0,
step5.thumbnail,141,96,45,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
